freq,unit,accident,victim,pers_cat,geo\TIME_PERIOD	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,TOTAL,KIL,OTH,LU	: 	: 	: 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 
A,NR,TOTAL,KIL,OTH,LV	0 	2 	6 	5 	4 	3 	3 	2 	2 	3 	2 	3 	0 	0 	0 	0 	1 	0 
A,NR,TOTAL,KIL,OTH,ME	: 	: 	: 	: 	: 	: 	: 	2 	6 	1 	5 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,KIL,OTH,MK	: 	: 	: 	7 	0 	5 	14 	8 	16 	22 	6 	2 	6 	: 	: 	: 	: 	: 
A,NR,TOTAL,KIL,OTH,NL	0 	0 	0 	0 	2 	1 	1 	0 	1 	2 	1 	1 	2 	1 	1 	0 	0 	0 
A,NR,TOTAL,KIL,OTH,NO	0 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,OTH,PL	4 	4 	0 	0 	0 	4 	0 	2 	2 	2 	0 	0 	0 	0 	1 	0 	1 	2 
A,NR,TOTAL,KIL,OTH,PT	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	2 	1 	1 	1 	1 	1 	0 	2 
A,NR,TOTAL,KIL,OTH,RO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,OTH,SE	0 	0 	0 	0 	0 	0 	2 	0 	1 	0 	2 	0 	0 	0 	0 	0 	0 	1 
A,NR,TOTAL,KIL,OTH,SI	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,OTH,SK	0 	1 	2 	1 	3 	0 	0 	0 	0 	0 	0 	1 	0 	0 	1 	2 	0 	3 
A,NR,TOTAL,KIL,OTH,TR	95 	106 	101 	81 	64 	68 	50 	43 	64 	49 	80 	34 	38 	: 	28 	29 	: 	: 
A,NR,TOTAL,KIL,OTH,UK	4 	7 	2 	3 	5 	4 	1 	3 	3 	4 	3 	1 	3 	5 	4 	: 	: 	: 
A,NR,TOTAL,KIL,PAS,AT	0 	1 	2 	1 	0 	0 	0 	0 	0 	1 	0 	0 	1 	0 	0 	0 	1 	0 
A,NR,TOTAL,KIL,PAS,BE	4 	9 	2 	2 	18 	0 	0 	0 	0 	0 	2 	1 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,PAS,BG	1 	2 	12 	1 	0 	1 	1 	0 	2 	2 	1 	0 	0 	0 	0 	0 	1 	0 
A,NR,TOTAL,KIL,PAS,CH	: 	: 	: 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,PAS,CHUNNEL	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,PAS,CZ	4 	0 	13 	1 	2 	5 	2 	0 	2 	6 	4 	1 	0 	1 	2 	2 	0 	2 
A,NR,TOTAL,KIL,PAS,DE	18 	3 	1 	3 	0 	9 	3 	0 	0 	3 	7 	2 	1 	0 	1 	0 	8 	0 
A,NR,TOTAL,KIL,PAS,DK	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	8 	0 	0 	0 	0 
A,NR,TOTAL,KIL,PAS,EE	: 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,PAS,EL	3 	0 	1 	0 	1 	0 	0 	0 	0 	0 	0 	1 	0 	1 	0 	0 	0 	49 
A,NR,TOTAL,KIL,PAS,ES	9 	13 	5 	2 	15 	2 	4 	79 	3 	0 	3 	1 	1 	0 	0 	1 	0 	0 
A,NR,TOTAL,KIL,PAS,EU27_2020	: 	: 	: 	: 	63 	38 	36 	97 	15 	27 	44 	12 	14 	16 	10 	5 	20 	54 
A,NR,TOTAL,KIL,PAS,FI	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,PAS,FR	12 	9 	10 	7 	2 	7 	2 	4 	0 	4 	2 	1 	0 	2 	2 	0 	4 	2 
A,NR,TOTAL,KIL,PAS,HR	: 	: 	: 	: 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 
A,NR,TOTAL,KIL,PAS,HU	4 	14 	10 	0 	3 	3 	3 	4 	3 	3 	4 	1 	3 	1 	3 	0 	0 	0 
A,NR,TOTAL,KIL,PAS,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,PAS,IT	5 	5 	4 	5 	7 	0 	2 	2 	1 	2 	19 	2 	4 	1 	1 	1 	1 	0 
A,NR,TOTAL,KIL,PAS,LT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,PAS,LU	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,PAS,LV	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
A,NR,TOTAL,KIL,PAS,ME	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,KIL,PAS,MK	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 
A,NR,TOTAL,KIL,PAS,NL	1 	0 	1 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,PAS,NO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,PAS,PL	9 	9 	8 	8 	7 	10 	15 	6 	2 	3 	1 	1 	2 	0 	0 	1 	3 	1 
A,NR,TOTAL,KIL,PAS,PT	0 	1 	3 	0 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 
A,NR,TOTAL,KIL,PAS,RO	8 	0 	15 	4 	4 	0 	1 	1 	1 	3 	0 	0 	0 	0 	1 	0 	0 	0 
A,NR,TOTAL,KIL,PAS,SE	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,PAS,SI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,PAS,SK	4 	1 	2 	2 	0 	1 	1 	0 	0 	0 	0 	1 	1 	1 	0 	0 	0 	0 
A,NR,TOTAL,KIL,PAS,TR	6 	1 	9 	7 	3 	1 	3 	1 	1 	0 	1 	0 	32 	: 	0 	0 	: 	: 
A,NR,TOTAL,KIL,PAS,UK	0 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3 	1 	0 	1 	: 	: 	: 
A,NR,TOTAL,KIL,TOTAL,AT	46 	52 	39 	34 	30 	35 	33 	26 	25 	35 	31 	18 	16 	14 	17 	14 	18 	16 
A,NR,TOTAL,KIL,TOTAL,BE	20 	38 	21 	16 	34 	27 	18 	15 	22 	13 	14 	20 	13 	10 	14 	15 	19 	12 
A,NR,TOTAL,KIL,TOTAL,BG	36 	27 	44 	28 	16 	37 	21 	12 	23 	20 	22 	16 	18 	16 	22 	16 	15 	15 
A,NR,TOTAL,KIL,TOTAL,CH	: 	: 	: 	22 	11 	10 	19 	17 	18 	10 	18 	17 	11 	13 	16 	5 	18 	8 
A,NR,TOTAL,KIL,TOTAL,CHUNNEL	: 	0 	0 	0 	0 	0 	1 	0 	0 	9 	0 	0 	2 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,TOTAL,CZ	52 	25 	44 	26 	48 	29 	26 	24 	31 	29 	34 	35 	28 	30 	34 	35 	22 	30 
A,NR,TOTAL,KIL,TOTAL,DE	192 	180 	164 	170 	146 	140 	138 	137 	160 	130 	150 	157 	128 	136 	137 	103 	151 	129 
A,NR,TOTAL,KIL,TOTAL,DK	18 	8 	11 	14 	9 	4 	8 	8 	12 	7 	7 	6 	6 	14 	6 	4 	7 	8 
A,NR,TOTAL,KIL,TOTAL,EE	: 	14 	8 	10 	12 	9 	7 	4 	9 	2 	0 	7 	5 	2 	2 	1 	1 	3 
A,NR,TOTAL,KIL,TOTAL,EL	38 	18 	17 	22 	29 	13 	18 	9 	9 	14 	10 	18 	17 	12 	2 	6 	10 	60 
A,NR,TOTAL,KIL,TOTAL,ES	56 	65 	46 	31 	37 	25 	27 	105 	25 	20 	28 	29 	16 	22 	13 	15 	21 	22 
A,NR,TOTAL,KIL,TOTAL,EU27_2020	: 	: 	: 	: 	1245 	1151 	1092 	1095 	1029 	930 	942 	933 	853 	802 	687 	683 	803 	841 
A,NR,TOTAL,KIL,TOTAL,FI	23 	18 	21 	14 	13 	5 	9 	6 	6 	7 	10 	10 	5 	3 	4 	10 	4 	4 
A,NR,TOTAL,KIL,TOTAL,FR	98 	82 	94 	76 	69 	88 	71 	85 	65 	54 	81 	94 	58 	53 	44 	47 	62 	74 
A,NR,TOTAL,KIL,TOTAL,HR	: 	: 	: 	: 	27 	26 	14 	18 	19 	15 	11 	20 	18 	13 	10 	10 	18 	6 
A,NR,TOTAL,KIL,TOTAL,HU	63 	80 	115 	92 	82 	84 	72 	102 	108 	109 	97 	101 	93 	87 	31 	48 	75 	46 
A,NR,TOTAL,KIL,TOTAL,IE	0 	2 	3 	1 	3 	1 	0 	1 	2 	0 	0 	2 	0 	2 	1 	1 	1 	4 
A,NR,TOTAL,KIL,TOTAL,IT	79 	68 	64 	80 	69 	64 	68 	61 	53 	46 	85 	55 	73 	43 	43 	49 	69 	74 
A,NR,TOTAL,KIL,TOTAL,LT	34 	36 	40 	33 	31 	26 	19 	17 	11 	8 	16 	17 	12 	4 	6 	8 	4 	9 
A,NR,TOTAL,KIL,TOTAL,LU	: 	: 	: 	3 	0 	0 	0 	3 	0 	0 	0 	1 	2 	0 	0 	2 	1 	1 
