freq,unit,accident,victim,pers_cat,geo\TIME_PERIOD	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,COLLIS,INJ_SRL,OTH,DE	0 	0 	2 	3 	1 	1 	5 	0 	2 	0 	0 	0 	0 	1 	1 	0 	0 	1 
A,NR,COLLIS,INJ_SRL,OTH,DK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,OTH,EE	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,OTH,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,OTH,ES	0 	0 	0 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,OTH,EU27_2020	: 	: 	: 	: 	2 	2 	6 	0 	3 	0 	1 	3 	0 	1 	1 	1 	0 	4 
A,NR,COLLIS,INJ_SRL,OTH,FI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,OTH,FR	: 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 
A,NR,COLLIS,INJ_SRL,OTH,HR	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,OTH,HU	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,OTH,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
